played_at,artist,track
+0:00,AC/DC,Back in Black
+4:15,Led Zeppelin,Immigrant Song
+6:41,The Rolling Stones,Gimme Shelter
+11:12,Queen,Don't Stop Me Now
+14:41,Fleetwood Mac,The Chain
+19:12,David Bowie,Rebel Rebel
+23:42,Lynyrd Skynyrd,Sweet Home Alabama
+28:25,The Who,Baba O'Riley
+33:25,Steppenwolf,Born to Be Wild
+36:55,Metallica,Enter Sandman
+42:26,Black Sabbath,Paranoid
+45:16,Slayer,Raining Blood
+49:33,Iron Maiden,The Trooper
+53:45,Pantera,Walk
+59:00,Megadeth,Symphony of Destruction
+63:05,Rage Against the Machine,Killing in the Name
+68:18,System of a Down,Chop Suey!
+71:48,Slipknot,Duality
+76:00,Motorhead,Ace of Spades
+78:49,Judas Priest,Painkiller
+84:55,Lamb of God,Laid to Rest
