played_at,artist,track
2026-08-16T11:04:49Z,Bill Withers,Lovely Day
2026-08-16T11:09:04Z,The Beatles,Here Comes the Sun
2026-08-16T11:12:09Z,Fleetwood Mac,Dreams
2026-08-16T11:16:26Z,Stevie Wonder,Higher Ground
2026-08-16T11:20:08Z,Paul Simon,You Can Call Me Al
2026-08-16T11:24:48Z,Tom Petty,Free Fallin'
2026-08-16T11:29:04Z,Coldplay,Viva la Vida
2026-08-16T11:33:06Z,Earth Wind & Fire,September
2026-08-16T11:36:41Z,Lizzo,Good as Hell
2026-08-16T11:39:20Z,Vampire Weekend,A-Punk
2026-08-16T11:41:37Z,Queen,Don't Stop Me Now
2026-08-16T11:45:06Z,The Killers,Mr. Brightside
2026-08-16T11:48:48Z,Avicii,Levels
2026-08-16T11:52:11Z,Daft Punk,Harder Better Faster Stronger
2026-08-16T11:55:55Z,David Guetta,Titanium
2026-08-16T12:00:00Z,Swedish House Mafia,Don't You Worry Child
2026-08-16T12:03:32Z,Whitney Houston,I Wanna Dance with Somebody
2026-08-16T12:08:23Z,Foo Fighters,Learn to Fly
2026-08-16T12:12:21Z,Calvin Harris,Feel So Close
2026-08-16T12:15:45Z,Journey,Don't Stop Believin'
2026-08-16T12:19:55Z,Bruce Springsteen,Born to Run
2026-08-16T12:24:25Z,Avicii,Wake Me Up
2026-08-16T12:28:34Z,Mark Ronson,Uptown Funk
